Name,Files & media,URL
Building systems with ChatGPT API,"Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/Building%20systems%20with%20ChatGPT%20API%20131d8a30812a802c8f88d43741080c56/Screenshot_2024-11-01_at_08.20.17.png",https://learn.deeplearning.ai/accomplishments/a9a5f728-6de8-4c38-b4e2-bf65ba389d8b?usp=sharing
ChatGPT Prompt Engineering for Developers,"Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/ChatGPT%20Prompt%20Engineering%20for%20Developers%20131d8a30812a8086b67def5b6a35c82b/Screenshot_2024-11-01_at_08.15.40.png",https://learn.deeplearning.ai/accomplishments/60243fd2-6a6c-4584-af4e-49f8b965ac0a?usp=sharing
From Likes to Leads: Interact with Customers Online,"Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/From%20Likes%20to%20Leads%20Interact%20with%20Customers%20Online%20131d8a30812a80bb95baf09c29da7bc7/WhatsApp_Image_2024-10-31_at_17.35.53.jpeg",https://www.coursera.org/account/accomplishments/verify/ZFIJQ65GFPM9?utm_source%3Dandroid%26utm_medium%3Dcertificate%26utm_content%3Dcert_image%26utm_campaign%3Dsharing_cta%26utm_product%3Dcourse
Attract and Engage Customers with Digital Marketing,"Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/Attract%20and%20Engage%20Customers%20with%20Digital%20Marketin%20131d8a30812a8038ab00d35d3ff55fd6/WhatsApp_Image_2024-10-31_at_18.28.08.jpeg",https://www.coursera.org/account/accomplishments/verify/AIY1AZQ7P0O6?utm_source%3Dandroid%26utm_medium%3Dcertificate%26utm_content%3Dcert_image%26utm_campaign%3Dsharing_cta%26utm_product%3Dcourse
Foundations of Digital Marketing and E-commerce,"Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/Foundations%20of%20Digital%20Marketing%20and%20E-commerce%20c3cb402e0e164543b7b57a486ddcd3c2/CERTIFICATE_LANDING_PAGE30C91669RIC3.jpeg",https://www.coursera.org/account/accomplishments/verify/30C91669RIC3?utm_source%3Dandroid%26utm_medium%3Dcertificate%26utm_content%3Dcert_image%26utm_campaign%3Dsharing_cta%26utm_product%3Dcourse
"Python Entry Level Certification - Amazon ","Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/Python%20Entry%20Level%20Certification%20-%20Amazon%20131d8a30812a8003887ff5b229e467cf/Screenshot_2024-11-01_at_08.07.15.png",
SQL Certification - Amazon,"Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/SQL%20Certification%20-%20Amazon%20131d8a30812a807da7a1e99144757c95/Screenshot_2024-11-01_at_08.07.27.png",
Linear Regression in Python,"Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/Linear%20Regression%20in%20Python%20131d8a30812a8082800dcf4a257f82b1/Screenshot_2024-11-01_at_08.06.59.png",
Think Outside the Inbox: Email Marketing,"Hi,%20I%E2%80%99m%20Ashitosh%20%E2%80%93%20upcoming%20Product%20manager%2012ed8a30812a8066aba3ffcd22982a39/Untitled%20131d8a30812a80bea4edda1fd566d5dd/Think%20Outside%20the%20Inbox%20Email%20Marketing%20138d8a30812a80888366e3ca4271aae4/CERTIFICATE_LANDING_PAGE1WK7N5OKBAKD.jpeg",https://www.coursera.org/account/accomplishments/verify/1WK7N5OKBAKD?utm_source%3Dandroid%26utm_medium%3Dcertificate%26utm_content%3Dcert_image%26utm_campaign%3Dsharing_cta%26utm_product%3Dcourse
